Entity,Code,Year,High Systolic Blood Pressure,High sodium diet,Low whole grains diet,Alcohol use,Low fruits diet,Unsafe water source,Secondhand smoke,Low birth weight,Child wasting,Unsafe sex,Diet low in nuts and seeds,Diet low in vegetables,Smoking,High fasting plasma glucose,High body-mass index,Unsafe sanitation,Drug use,Low bone mineral density,Vitamin a deficiency,Child stunting,Non-exclusive breastfeeding,Iron deficiency,Low physical activity,No access to handwashing facility,High ldl cholesterol,Air Pollution
Iceland,ISL,2019.0,373.90176,36.93363,87.94568,71.37309,33.22816,0.119321786,29.655249,3.5567338,1.7095762,5.6717567,22.815107,29.226295,344.51797,227.56287,203.6401,0.07206293,21.403807,21.309284,0.00010821639,0.0060798633,0.037641294,0.00730919,56.366722,1.0912433,231.90994,34.36759933
India,IND,2019.0,1471889.1,174797.08,258256.98,343695.0,256232.2,508289.62,240097.83,445535.38,118283.47,78978.586,164172.34,134007.48,1013282.44,1121913.8,579107.94,291102.78,72902.79,118682.336,1500.5435,21575.477,17973.398,10098.36,96012.21,173939.28,630093.2,3253902.35
Indonesia,IDN,2019.0,477723.2,91668.49,38678.086,17643.8,46157.227,45774.316,52554.875,30861.082,31566.002,12602.645,1809.7194,35542.074,246358.8,259251.28,186656.53,16362.186,6012.3193,10052.587,204.01718,2343.9016,2646.2253,801.38715,24403.693,10169.629,112172.8,369843.77999999997
Iran,IRN,2019.0,99938.87,3875.822,29089.838,2975.8303,2003.4257,510.6312,10606.724,6254.4126,649.6164,1154.2019,3471.029,1671.5167,39926.035,68121.41,61415.082,143.2822,5980.202,3047.8474,1.3331398,44.774025,92.3764,25.918398,14446.24,504.0821,52529.617,85041.89007
Iraq,IRQ,2019.0,55716.355,1844.9467,11802.799,817.4426,4485.1753,382.01498,6635.048,6619.712,880.5132,353.96112,6171.727,1040.3745,25199.168,38016.05,36481.234,127.42278,1098.0654,772.711,4.6229115,122.138466,169.38075,54.622604,8308.272,114.1854,24812.523,51067.882682
Ireland,IRL,2019.0,5785.8857,336.36285,954.0582,1543.0792,448.35233,1.2832465,435.44397,59.630283,7.6977882,110.91751,272.5572,270.66882,6183.721,3655.0227,2976.668,1.9218748,332.60516,200.01596,0.0018677514,0.06462557,0.57198805,0.17699246,1002.58466,17.874859,2737.5967,1089.8682956
Israel,ISR,2019.0,8255.395,608.6765,1869.3679,651.053,183.5103,12.798118,542.429,175.3695,51.020313,179.72784,36.70752,40.494274,6143.872,7384.0254,5134.257,10.425584,273.10794,348.2101,0.070443094,0.3178387,2.3214846,0.8519085,1265.2769,23.992765,2906.4792,4739.1312448
Italy,ITA,2019.0,123001.45,11912.086,32193.844,30365.22,4228.2935,47.12216,8374.083,463.129,577.42365,2170.69,5400.8843,3934.537,90488.75,95752.9,64136.473,26.486055,6292.2183,7589.817,0.019932134,0.4963345,4.5601883,1.6324939,18354.371,142.38521,53139.566,52689.020865
Jamaica,JAM,2019.0,3851.601,330.74768,644.85895,418.41934,288.30746,32.498314,340.25922,358.02963,66.28645,574.5497,32.29448,220.9524,1721.4054,4812.621,3434.048,15.487584,33.55031,69.169716,0.018253973,0.6560267,3.2097142,4.2429214,790.419,60.64935,1090.4579,2296.7256399999997
Japan,JPN,2019.0,196384.61,38087.49,30877.293,47794.766,19205.877,542.22064,16796.174,358.00443,1470.361,4498.7793,12030.685,3447.791,199396.19,101140.94,51822.09,102.912056,10534.549,8920.783,0.063311145,8.473066,11.7155905,4.7177577,20536.309,2359.7405,75782.03,82351.91832
Jordan,JOR,2019.0,8167.6387,286.17145,2043.5479,186.10396,564.3647,28.982246,1014.3024,1433.2098,194.26697,84.40031,173.23549,297.1162,4741.592,6176.4126,7548.1084,3.9357398,128.4649,153.07791,1.3758006,18.023188,42.466377,13.032136,1036.5958,49.082527,3663.199,6206.3855359
Kazakhstan,KAZ,2019.0,43242.707,4973.4946,9455.065,9585.744,3450.3557,29.468824,3556.3662,1265.0441,375.91556,914.3345,2948.79,373.64056,20163.756,22697.92,22827.822,24.304005,2551.6501,419.14676,0.5973707,28.110552,62.621643,9.241832,2692.7322,141.177,16201.584,23596.358399999997
Kenya,KEN,2019.0,27283.75,2923.1948,2723.9565,15861.581,3078.9546,15404.724,1831.5796,16142.111,12360.291,44889.754,1119.7823,2155.0579,10245.682,13988.792,15025.0205,11367.126,5533.9907,1143.9325,473.05505,1361.1329,2156.8796,824.65546,360.36127,10818.145,4861.6255,55338.697
Kiribati,KIR,2019.0,176.93164,28.312384,44.3602,19.88318,32.39391,33.507763,51.6937,32.480743,24.43817,30.11641,3.303847,27.6974,252.32649,283.59778,228.96333,21.158705,8.544575,1.8440421,0.85464084,2.0173414,1.3139758,1.582261,19.492353,6.5713086,86.7551,303.12065199999995
Kuwait,KWT,2019.0,2533.622,191.02805,618.9086,32.299744,173.18419,2.2686553,357.23657,197.04227,16.991953,22.547787,127.28588,24.60697,1524.153,1787.15,2316.5132,0.2076693,59.1656,75.95296,0.0033116778,0.93415105,4.2573814,0.4333967,483.76828,25.17934,1636.522,3069.9209582000003
Kyrgyzstan,KGZ,2019.0,7868.2163,1248.5577,2929.0986,2862.4988,1087.1766,56.83883,1220.7,957.60675,249.94444,303.2295,1202.0544,188.86906,5025.1196,2684.0247,4479.048,57.314014,594.8115,101.75789,0.6693676,32.734993,44.78759,10.372995,583.3871,36.734035,4994.7295,8177.284100000001
Laos,LAO,2019.0,8194.624,1798.9119,679.83887,2381.058,773.6915,913.93335,1382.4794,2447.8296,1491.8613,557.16327,126.66484,675.4261,5848.2036,6439.545,3528.8386,609.4008,154.20929,195.71278,20.361954,246.65556,233.32597,56.30785,292.43274,519.52826,2791.8086,15474.1379
Latvia,LVA,2019.0,9326.261,637.28595,1847.1771,1613.5372,816.7073,1.4257042,496.04318,18.031872,3.355347,159.27023,649.9467,380.76614,3689.628,2924.2324,4365.9307,0.7636117,211.09375,117.70987,0.00047638392,0.21415716,0.57882696,0.2987453,1083.8424,6.84946,5029.692,2456.4406799999997
Lebanon,LBN,2019.0,9756.588,334.0538,3145.9077,262.28235,160.02264,39.73129,1352.2612,339.31833,47.010975,98.47679,75.643776,45.626316,7810.7188,7143.8877,6164.955,2.1343598,228.92116,110.38254,0.19404465,3.901484,8.350148,1.8498459,1858.0352,50.0471,6120.925,6694.267417999999
Lesotho,LSO,2019.0,2660.023,189.42021,203.42491,1660.9664,488.48557,1218.2964,481.9965,1010.5881,757.90814,10173.438,97.50445,265.47266,2217.0542,2586.3523,2328.3308,892.8194,348.0917,94.78852,15.759889,98.66281,102.02126,29.977629,129.15546,925.4357,386.2763,4971.2077
Liberia,LBR,2019.0,2954.5515,258.64465,356.11377,1180.8945,334.45798,2060.472,172.75809,2086.0188,1638.977,1747.2144,96.03859,305.6882,675.1823,1946.0251,1718.8005,1415.366,71.18995,102.62262,52.128822,230.73543,233.72484,173.57002,150.29959,1247.3766,784.35376,6746.21494
Libya,LBY,2019.0,8653.757,285.3723,2126.309,208.6396,427.54398,36.89031,1161.1967,280.09985,51.032505,166.28484,446.20316,347.13907,3662.6067,5810.116,6199.813,13.26326,266.09534,285.96832,0.068534695,5.571725,4.944646,4.1956286,1279.9833,43.03682,4172.3687,6820.135736
Lithuania,LTU,2019.0,12456.965,936.66425,2664.8137,2310.4348,983.4247,4.945903,576.1086,20.684345,6.667368,188.1565,1019.80884,561.678,4934.1924,3123.6086,5806.726,2.8554206,331.19534,200.03133,0.0008522696,0.37332308,1.0203072,0.20602012,1632.8857,10.72298,7382.599,2665.253127
Luxembourg,LUX,2019.0,763.01526,55.86778,126.43945,279.94595,50.69453,0.4418308,50.464622,4.4482975,7.360886,12.22969,60.48759,33.28478,675.7985,567.0944,353.3925,0.2152631,41.35142,52.438446,0.00034227956,0.008881486,0.07866073,0.033361252,84.661766,1.6199028,325.8719,193.54315919
Madagascar,MDG,2019.0,22665.066,3558.1418,1772.3232,4171.4287,2694.7124,15676.829,1456.9419,13142.647,17337.57,3905.579,1086.4037,2572.7542,5413.363,7742.993,8531.949,12119.634,328.19977,438.82715,688.45105,3067.4688,2037.823,448.21988,259.4967,9002.514,4484.785,47453.8626
Malawi,MWI,2019.0,11116.579,1650.3031,836.2407,4414.5166,1192.4523,6471.677,695.78204,8978.319,5690.637,13516.514,73.25918,1145.9303,4745.667,6618.8574,4553.432,4795.749,279.63647,391.43436,124.197876,947.4144,535.53705,265.60226,207.68854,4562.7734,2468.9382,27407.4694
Malaysia,MYS,2019.0,41080.93,7907.6587,6539.5645,3388.0938,2790.023,726.2452,5964.133,1065.8851,400.7392,1806.2708,83.43709,3123.961,24587.691,24609.312,19105.027,79.9863,1397.8359,1400.2432,0.32599908,24.553904,27.550941,41.71656,3538.8987,472.3121,19815.88,21621.92811
Maldives,MDV,2019.0,337.56775,65.97672,65.22511,13.089385,32.29396,8.8154335,45.74284,56.915028,8.001896,6.859023,14.000885,22.23698,205.07559,239.61926,109.96169,3.0647488,15.656739,8.29596,0.05426028,0.7177179,0.6311891,1.0763354,29.486141,4.1896234,159.46927,152.15646
Mali,MLI,2019.0,11212.161,1115.9508,1437.1594,2070.5066,1415.9557,11881.146,1235.4767,28276.855,28539.902,4722.3086,250.76268,1187.096,3602.1895,7432.903,5318.2104,8818.956,181.58942,513.0635,699.02325,2368.6208,1848.6152,899.8444,402.68967,7735.894,2825.004,51698.4052
Malta,MLT,2019.0,846.605,77.65158,242.18591,110.11571,56.516163,0.09447128,53.87835,9.773824,1.1425377,9.274218,27.144764,20.371962,550.72894,700.4242,369.04517,0.08152547,20.74968,31.360762,0.00017228712,0.014206478,0.079675935,0.042692386,182.40627,1.9946743,470.80994,309.34783818
Marshall Islands,MHL,2019.0,82.66916,13.848597,19.925966,9.871086,13.608171,4.0226145,16.340805,7.7540946,4.176039,7.5763044,1.5521802,12.841795,52.886723,103.75805,74.460724,1.9740638,3.7431307,1.4435805,0.10680904,0.4150512,0.35864282,0.28798866,8.748398,1.2739911,45.53299,71.628916
Mauritania,MRT,2019.0,2666.0122,236.05128,423.19827,164.74,390.89374,1279.0444,211.11388,1757.2109,1097.5581,223.45308,243.22849,261.8562,703.1379,1394.1261,1754.6807,932.18256,8.342808,123.3253,19.73956,97.87339,178.48361,98.0598,331.9375,794.1604,750.2468,5246.2616
Mauritius,MUS,2019.0,2714.198,531.57404,414.07605,339.52548,371.80585,6.001056,393.18008,69.85102,23.53681,120.92302,48.546616,129.8187,1040.9441,3604.379,2236.0425,2.8456097,119.04584,38.763214,0.014541088,0.70875806,1.3015245,0.90512615,331.91827,3.667511,904.10394,1241.3966059999998
Mexico,MEX,2019.0,129019.03,13029.9795,15805.764,49888.906,6737.164,2394.2886,10458.186,9816.946,8618.695,10871.779,6841.9688,7604.5674,48392.613,157907.72,125591.195,953.45886,4009.3887,5001.803,16.167961,244.65681,522.22076,140.51747,11983.493,1543.7781,52139.324,94767.661
Micronesia (country),FSM,2019.0,178.01543,30.45444,43.76889,22.50295,30.87126,6.414212,37.671585,7.349347,5.327631,46.44973,3.9797819,26.820215,167.32893,248.0199,218.31717,2.7892025,8.127179,3.506262,0.080632366,0.36183685,0.355771,0.41764718,23.786243,2.0613785,94.55662,160.982795
Moldova,MDA,2019.0,14996.744,792.535,2641.8857,3799.5662,1151.5911,4.825128,730.7539,114.40166,16.839,320.1672,1478.5828,778.7623,5920.862,4426.343,6769.343,3.9707515,472.72412,111.17122,0.0048893564,1.4527828,7.251597,0.7543545,957.48535,40.799557,6481.8105,4803.9632
Monaco,MCO,2019.0,88.2728,6.360942,18.198528,15.05268,1.8227264,0.005975572,6.8427153,0.17545162,0.18972334,1.9735416,0.28156865,0.60491604,97.25216,48.25539,49.882687,0.0030603134,2.9080245,2.8010998,3.491337e-06,0.00058050425,0.002564444,0.00042458632,14.035794,0.2463036,45.188435,31.404795258999997
Mongolia,MNG,2019.0,6318.382,832.9206,1300.84,3339.8826,1183.8811,35.579803,532.00323,402.06577,152.72202,182.89058,692.3902,686.6144,3766.3916,1118.522,3587.19,28.732044,414.84717,83.62139,0.10387216,18.642908,29.15242,7.9989033,177.7334,51.698193,2554.0015,6521.7522
Montenegro,MNE,2019.0,2294.8276,703.26886,318.67963,491.84735,65.86179,0.29523733,243.67319,9.163274,1.4575706,24.245115,102.08539,13.333863,1760.5995,1452.7935,1218.4606,0.036387973,21.689877,28.958824,0.0011046138,0.08182063,0.22294167,0.04998822,93.27232,0.8268034,752.0509,1470.26796
Morocco,MAR,2019.0,79903.9,2552.2437,19647.145,1108.3933,1786.2001,959.3501,6615.8115,4770.817,1312.7511,1587.3728,5133.1216,1907.2651,21382.182,48116.883,41920.133,300.98148,1030.3838,1720.0952,20.593132,126.638916,325.189,94.07836,10682.712,636.03876,36767.426,57991.395300000004
Mozambique,MOZ,2019.0,22249.936,3310.0405,2092.1545,4924.674,2985.2842,7637.985,1333.323,19071.611,10596.114,54375.3,302.53967,2133.1096,8057.9272,12142.961,7743.509,5693.7905,829.0958,828.468,266.13556,1391.9049,1522.6613,492.0312,308.6726,6306.5215,4415.4365,53816.24830000001
Myanmar,MMR,2019.0,85790.18,17774.455,7526.005,20451.807,12265.261,5540.841,10886.99,13907.24,6163.0254,5599.1157,134.0153,5894.779,60038.74,68003.73,31197.402,3354.7776,5832.9385,2589.1025,58.583458,635.52905,1026.1981,295.21527,3834.2139,3515.335,22312.422,147936.884
Namibia,NAM,2019.0,2399.8281,150.43423,282.09702,1034.4144,319.11035,550.8637,227.71251,784.5058,484.9239,3464.5806,170.08614,198.86598,1149.8127,1804.0206,1558.534,347.83447,154.9526,73.00968,2.746994,35.716343,68.864815,13.423637,216.77202,359.02966,552.6623,3154.6614600000003
Nauru,NRU,2019.0,16.198448,1.7679411,3.409851,2.7507534,1.9166043,0.27337494,2.8524544,2.1054232,1.1769894,1.2439765,0.092345186,2.0011914,11.126723,14.782995,15.499353,0.08849855,0.53847426,0.20003766,0.0047307066,0.097318344,0.08551911,0.060686246,1.1118675,0.13497986,8.226338,3.3063407
Nepal,NPL,2019.0,23697.02,3144.3313,3640.0789,6831.067,3101.5947,4705.339,4435.625,8328.609,3029.5256,2052.2769,2605.7786,2429.3457,34201.242,15513.349,9144.728,2669.4795,897.87134,1599.2009,25.591097,324.1283,271.92883,307.5062,1569.0824,1970.7091,9470.036,81666.466
Netherlands,NLD,2019.0,22940.555,1617.8549,4443.4404,7564.558,1722.3677,10.230634,1798.7607,234.39641,130.20392,423.8947,577.5644,1328.053,31530.0,14101.282,11692.391,5.794286,657.5218,2364.6912,0.0045204903,0.18656105,1.7426229,0.595595,1715.8694,69.5495,9912.745,9544.573955
New Zealand,NZL,2019.0,5970.153,430.2727,1305.9028,1352.4323,405.6341,13.365571,346.54492,85.96125,16.394194,97.2902,145.41249,341.41956,4791.743,3413.9414,3625.8127,2.788444,271.4042,381.0161,0.001965593,0.2780178,1.1910999,0.62805456,917.86096,19.743664,3330.6125,639.3924213
Nicaragua,NIC,2019.0,6547.149,961.4487,813.6964,1706.2002,708.63995,136.35222,483.94037,530.1478,326.62173,910.0189,280.38287,577.91754,1645.0736,5972.716,4341.5933,85.451164,103.9075,195.50673,0.2005217,27.747942,51.07945,5.9449196,191.16708,105.93441,2288.0928,5497.44414
Niger,NER,2019.0,10654.918,990.1873,1341.4806,1041.0486,1570.9277,24716.236,1429.0615,23540.99,37197.023,2318.7048,23.13588,763.37994,1981.5424,5728.1807,3665.2366,19007.738,73.19275,457.06342,3647.097,9676.386,4771.25,808.5616,396.32037,14011.734,2510.341,58981.97
Nigeria,NGA,2019.0,114124.89,8034.1973,13981.113,45887.844,9743.246,157291.61,9916.701,187666.08,192437.33,68152.086,312.82074,6636.696,17350.297,57697.746,47586.25,103240.78,12463.107,3921.8015,2372.3647,43323.902,36925.316,4308.028,5344.6196,96521.4,29795.691,394359.47400000005
Niue,NIU,2019.0,5.267443,0.8452141,0.98827267,0.37999365,0.5134809,0.0907,1.0062395,0.13394743,0.12363315,0.25222966,0.0284603,0.5078878,2.5381055,5.953246,4.512262,0.016190639,0.123922236,0.09103402,0.00026464395,0.0049549975,0.0045810924,0.0025717793,0.6901525,0.025059735,1.9475834,1.13257468
North Korea,PRK,2019.0,50376.547,16492.373,6431.015,9793.421,6296.911,118.647804,9859.216,1603.8524,768.5058,1963.0527,4229.0977,3012.1748,43764.023,22086.965,8400.398,101.97907,2190.7136,1661.6226,5.7194247,73.480965,60.8201,32.276497,2490.402,169.10074,20170.244,108259.028
North Macedonia,MKD,2019.0,8393.63,2615.3003,1400.5807,971.54865,398.448,2.1841109,889.5608,100.48733,6.681344,98.09546,141.61163,50.783348,5306.518,5860.8193,4675.727,0.87698996,121.681786,83.915596,0.19413413,0.6700023,2.0773127,0.1923614,447.9463,1.9417737,3274.3914,6587.427750000001
Northern Mariana Islands,MNP,2019.0,80.78472,13.247805,15.288563,8.862194,6.480374,1.3114883,12.434893,1.4420433,1.317187,4.565333,0.20975009,7.6374803,59.913097,81.48214,82.33924,0.19867165,3.3874264,1.7538252,0.006256421,0.043239746,0.036836617,0.061580434,7.464098,0.30513364,34.178467,32.047214
Norway,NOR,2019.0,6766.291,454.23566,1555.2594,1262.5951,399.65967,7.5034823,431.35165,35.912144,93.86482,151.26295,357.24008,442.03754,4817.8135,4753.0225,2781.274,3.790798,384.69308,735.9592,0.0008319464,0.034859743,0.17275706,0.084218055,933.8188,25.555607,3439.809,848.1872235999999
Oman,OMN,2019.0,2995.7488,108.33711,712.5366,66.60622,77.86098,20.581024,305.4584,283.29306,29.558207,99.89728,335.99527,127.22888,811.5604,2366.8787,2416.7175,1.394586,72.3448,139.4282,0.022433484,3.1448097,3.6550913,1.7979088,537.8102,23.360102,1909.0624,3134.7373390000002
Pakistan,PAK,2019.0,220698.34,24191.467,54778.43,18214.248,29181.785,65454.668,30919.115,209471.25,60150.81,4505.375,17706.912,24682.398,134289.33,145454.2,101135.49,30881.287,8583.468,3302.2559,339.23355,11209.313,8756.118,3645.8281,16293.115,23033.107,89730.67,465754.956
Palau,PLW,2019.0,43.220654,6.8128743,9.93718,3.4602702,4.9726744,0.94805866,11.202383,0.7282983,0.65539026,4.7583632,0.21529359,5.1116595,30.246752,56.006306,48.56432,0.17423029,1.3423163,1.1704286,0.0021020446,0.051266164,0.049216196,0.03514221,5.005934,0.47205052,22.66379,9.055101799
Palestine,PSE,2019.0,3815.9963,142.63858,1181.0708,219.4104,329.4199,21.36678,615.2765,627.20105,44.945847,41.441586,196.62021,177.98991,2185.4202,3899.9727,2815.6748,3.683311,48.369236,59.95837,0.3557688,3.678022,6.8482895,2.717332,717.7042,39.10852,2107.7678,3667.794598
Panama,PAN,2019.0,3505.5776,532.0484,415.5833,865.9875,281.51624,111.4602,198.08716,291.10306,219.76274,717.97107,106.23783,281.2398,1181.862,3484.7266,2264.077,54.897804,68.78432,101.04812,0.35296756,15.912405,29.172054,7.925708,129.41502,67.22908,1259.326,1627.55611
Papua New Guinea,PNG,2019.0,6727.36,1274.2737,1875.2739,573.6069,1361.0853,2619.7986,2581.2363,3955.518,4463.473,3565.086,372.38834,1012.5712,7154.868,10170.691,5007.602,1983.8557,299.27478,351.62933,64.691864,1143.163,441.09055,175.89421,616.08856,1350.248,3580.9897,24701.5608
Paraguay,PRY,2019.0,6565.47,817.2899,937.3731,2132.6682,351.68246,111.68287,688.97095,413.89523,393.50775,845.9104,145.19583,534.57245,4411.321,5755.4165,4820.2085,50.263905,194.52127,242.33826,0.6590616,10.522831,37.492996,18.092188,479.59875,139.36607,2624.3262,4522.668100000001
Peru,PER,2019.0,19058.945,2712.32,2988.0789,6740.386,1430.2383,731.8741,1191.8062,3001.661,1598.6448,3759.8713,1196.2013,1484.6046,4489.1074,13289.217,14354.999,487.28094,547.37305,967.69714,3.4417703,119.39805,94.16534,66.40826,1492.473,1582.5099,7375.065,22758.313000000002
Philippines,PHL,2019.0,127060.48,28263.55,15315.769,39802.0,9379.112,6654.132,21669.04,20871.83,11838.166,7211.547,1836.5077,10316.661,95587.266,84253.1,65200.215,1968.2485,1173.573,2314.1318,285.24078,1848.7316,1291.7318,270.00412,2726.7014,4622.3545,51845.62,149476.073
Poland,POL,2019.0,90656.24,21621.29,20128.84,26320.045,8725.618,76.14673,7773.9785,485.98956,133.70607,2214.0476,9126.07,1824.5613,77669.37,62955.59,57514.195,15.960274,1825.9395,2911.6362,0.03776032,3.8110673,7.1085634,1.6939443,9118.11,120.30894,46614.797,61689.467300000004
Portugal,PRT,2019.0,19637.264,1398.9226,3579.7913,7241.595,1148.4283,23.66466,1770.7301,76.317986,130.00383,792.2542,782.4632,387.46548,12133.856,17738.54,10091.196,24.683548,600.2641,744.7875,0.009194081,0.18060715,1.9431676,0.4694085,3448.4104,92.82586,8628.358,4530.376985
Puerto Rico,PRI,2019.0,5975.656,505.42664,1170.4625,1380.0658,321.1625,67.92056,408.1508,91.615234,107.39267,316.2045,42.25675,494.0599,2788.5742,7146.353,5829.0015,4.2447934,108.30133,219.05962,0.0044907145,0.33350635,1.9633152,0.6756979,1154.952,92.70934,2208.7332,861.1863542000001
Qatar,QAT,2019.0,726.1768,30.938164,222.22923,75.46821,14.006882,2.3128972,117.135544,76.002,4.793942,12.170907,28.196611,2.9754066,418.07602,842.0378,962.60895,0.24241328,38.97575,50.988045,0.005203732,0.3532,1.0241184,0.777152,162.67601,3.037307,434.65015,1084.302062367
Romania,ROU,2019.0,94375.56,27797.4,12933.561,19600.924,5118.9565,37.57956,6243.4194,412.3148,257.34216,1967.2457,6336.7915,337.86716,38999.258,27140.326,42107.258,23.836452,2263.0437,869.7935,0.13658111,22.61763,50.186005,3.3339555,6485.3755,79.01116,39922.062,34148.5069
Russia,RUS,2019.0,557780.6,62595.062,115639.336,154180.81,47585.64,161.07835,35692.75,2530.0237,883.3799,15214.377,43529.41,27047.875,291356.5,196911.92,283793.2,121.160126,26479.307,6163.476,0.038266066,81.89838,160.27913,25.09502,41345.94,723.5792,332216.84,153823.988
Rwanda,RWA,2019.0,7159.4844,1270.5769,865.4914,5223.139,28.115316,3055.0508,555.1276,3971.4587,3186.4932,3701.7122,232.0247,744.7988,4958.9927,4579.397,3082.1377,2258.7385,81.6904,385.232,48.737785,503.4475,101.92763,137.26308,124.061424,2533.1536,928.2401,18511.447500000002
Saint Kitts and Nevis,KNA,2019.0,105.58313,8.458266,15.552035,26.028341,12.518465,1.8875163,6.8676414,5.005125,3.601915,30.46705,1.5669146,7.0813327,25.24599,94.08257,80.20469,0.41223615,1.987289,2.1565456,0.00083146815,0.037091464,0.1633607,0.13561693,11.958732,1.8184596,29.728699,23.45155314
Saint Lucia,LCA,2019.0,275.78436,23.155489,44.23625,86.09942,18.133924,3.331555,15.822378,13.787895,5.938776,21.262363,3.9357698,20.17811,105.55112,289.92062,199.30675,1.2599864,2.808709,6.7523355,0.0017923216,0.038012158,0.27351296,0.24045874,39.546597,3.4957128,61.317715,169.5619728
Saint Vincent and the Grenadines,VCT,2019.0,214.80061,18.226618,39.385284,55.632782,10.077718,3.0776668,14.800424,10.658519,7.7969923,29.196753,1.9750941,17.268457,61.582893,235.9784,162.039,1.337755,2.2245593,4.9211354,0.003739686,0.09507953,0.36611298,0.20296267,34.532703,4.1374273,64.89131,133.15965699999998
Samoa,WSM,2019.0,317.41083,20.181269,69.7657,26.144106,38.65176,6.636838,66.26775,13.519393,8.107513,20.952875,1.4856538,43.009846,233.69977,341.18512,282.28433,0.8309936,8.754262,6.415719,0.5499602,0.6213146,0.47236645,0.15045041,36.679447,1.7961197,122.1253,360.618
San Marino,SMR,2019.0,51.8111,4.2454567,9.746906,15.8093405,2.5829418,0.0049873367,3.2020922,0.3463089,0.15129575,1.3526621,1.0944577,1.7179917,41.50752,31.580812,25.901184,0.0029161198,1.4815904,2.4234686,6.678953e-06,0.00039112024,0.0018892637,0.0007334793,7.264277,0.080377154,21.983746,12.312202622000001
Sao Tome and Principe,STP,2019.0,197.87083,16.50098,27.57743,64.90552,6.65835,9.358491,6.2619705,37.735897,16.976,16.683287,0.66378826,17.994852,43.60306,95.04107,97.91334,5.3447104,1.0255181,7.4592714,0.116690755,1.9410995,1.1830915,1.0605037,7.37769,22.054516,51.937016,279.243965
Saudi Arabia,SAU,2019.0,28995.057,1164.802,7131.363,721.5111,2314.3792,150.61157,4037.1528,799.12683,122.984604,616.5231,2546.252,1822.7942,12270.544,19543.07,28038.523,20.473976,721.8694,2335.2788,0.051751178,6.2496166,11.415266,28.351543,6143.4204,218.48215,17926.004,35868.196935
Senegal,SEN,2019.0,11500.348,983.46326,1366.4213,1041.6669,1435.1104,5348.498,1512.5475,8671.724,3895.5913,2273.3796,54.021317,850.9779,3108.1174,7931.109,5264.5107,3821.0452,87.7111,432.27594,93.03626,441.3062,623.22974,424.02426,660.9245,3125.252,2767.4585,24926.337
Serbia,SRB,2019.0,39545.496,11686.709,6361.5684,5065.9004,1457.7203,14.40644,3479.788,141.52184,18.52002,666.61615,1786.0269,1424.5844,24350.49,25625.453,19160.857,3.6838584,597.70703,413.93137,0.061156455,0.6673555,2.7304316,0.93421763,2374.6228,16.232742,18641.568,25245.9059
Seychelles,SYC,2019.0,178.4004,30.490377,19.784443,57.489662,11.479047,3.507022,19.102999,6.31188,2.9615235,11.925869,3.2538304,13.227541,105.67851,120.86749,87.50878,0.8102642,6.6091313,3.4408858,0.0041013686,0.11541007,0.19654694,0.1129255,9.065045,3.32743,60.724808,71.19919759999999
Sierra Leone,SLE,2019.0,6471.158,529.9685,677.7048,1903.55,714.67206,3249.9675,831.8259,5600.2393,4940.4487,2999.399,15.19985,557.59094,2224.939,2494.7617,2063.8315,2371.672,70.2759,214.93388,61.022343,789.65137,530.9647,301.38013,244.45226,2852.6453,1553.6575,18726.0854
Singapore,SGP,2019.0,3475.4326,870.16797,674.1318,307.4584,179.53967,5.41289,295.9782,25.642244,6.22738,139.59898,188.48172,112.80119,2813.6875,2349.9211,1777.3768,1.0269252,156.38948,91.15385,0.0011490292,0.28590402,1.4785892,0.19894986,373.19855,66.86651,1942.9005,2706.8410535
Slovakia,SVK,2019.0,15954.798,4852.1396,3456.7654,3493.1584,1334.9476,3.8453412,1280.4559,101.81657,21.4619,245.6197,902.9165,762.58246,8224.509,7079.386,8778.547,0.63881946,366.07156,375.59912,0.027892847,1.7045841,2.5098455,0.36830443,1211.6471,16.306461,9003.009,7079.679237
Slovenia,SVN,2019.0,4585.6963,1397.1184,623.8534,1115.2877,173.76866,0.97604305,343.78473,12.975513,1.0219716,64.02988,151.29494,176.35461,2980.2622,2020.4622,2604.7476,0.27993086,169.34447,322.10995,0.001068281,0.04858909,0.12458037,0.13493359,296.5421,5.755736,1673.4141,1824.598923
Solomon Islands,SLB,2019.0,951.2114,176.27223,284.1616,59.040897,208.71124,182.5876,272.1777,106.83224,101.82431,91.33858,62.388092,231.74333,1026.3853,1191.9196,970.22974,143.885,40.643562,26.445404,3.126743,13.627558,8.3881645,11.262933,81.61309,41.711937,665.13983,2640.1005700000005
Somalia,SOM,2019.0,11497.525,1916.7883,1496.6482,903.10986,1933.1438,14448.698,1338.5298,14228.898,27400.158,4158.709,115.4554,1496.0615,5257.4604,6693.416,2016.5957,10830.524,145.12468,423.44336,2182.5964,4023.158,3612.6204,792.7306,145.27103,10191.904,2377.929,56656.3598
South Africa,ZAF,2019.0,61472.863,3290.505,5242.7627,27059.635,8375.058,9506.172,7297.435,15633.387,7157.3965,136978.14,3773.2766,3900.4077,32835.53,54458.945,55364.992,5401.3423,5485.9434,1821.1726,73.83762,850.2794,1570.9459,297.7179,5960.9873,7427.963,14727.176,59199.3247
