Entity,Code,Year,High Systolic Blood Pressure,High sodium diet,Low whole grains diet,Alcohol use,Low fruits diet,Unsafe water source,Secondhand smoke,Low birth weight,Child wasting,Unsafe sex,Diet low in nuts and seeds,Diet low in vegetables,Smoking,High fasting plasma glucose,High body-mass index,Unsafe sanitation,Drug use,Low bone mineral density,Vitamin a deficiency,Child stunting,Non-exclusive breastfeeding,Iron deficiency,Low physical activity,No access to handwashing facility,High ldl cholesterol,Air Pollution
Belize,BLZ,2019.0,300.5195,25.621641,48.265892,122.537735,3.2242396,9.466131,28.269451,48.64939,18.998562,88.408134,1.2637517,24.53388,138.04837,300.1766,297.57205,3.6814582,7.078354,10.768686,0.028658267,0.97822136,2.5087702,0.908604,43.821373,12.24649,100.52975,246.988093
Benin,BEN,2019.0,7361.22,802.4434,793.78357,1971.4304,917.80994,4407.8896,655.95807,11210.993,7148.2686,2223.5325,48.515068,543.65466,1938.2441,4696.468,4072.092,3337.6602,86.60661,290.13065,470.61823,1858.201,771.9319,309.09695,325.17343,3688.8,1761.1241,24433.0878
Bermuda,BMU,2019.0,110.33674,10.088394,25.09041,22.07823,9.525336,0.32580933,7.6687846,0.8960729,0.42844045,7.3206325,3.545334,5.996493,61.285347,87.402534,79.718475,0.042932138,1.5908476,3.4598374,2.590579e-05,0.0050835186,0.011297352,0.01343062,20.670334,1.1885552,49.117306,18.26303665
Bhutan,BTN,2019.0,702.4599,83.03775,104.55684,84.02065,83.66911,75.28569,67.654236,213.86804,34.438892,46.206123,50.347107,65.14492,332.15582,477.1386,307.48157,57.57329,28.285267,50.378616,0.13625951,5.2640667,5.035471,4.9538116,74.83305,21.261456,335.57843,1280.9397
Bolivia,BOL,2019.0,9091.8,1463.3699,1603.6925,3069.534,824.4085,439.11966,579.57825,2752.3105,1613.5719,1697.0946,77.45453,920.96185,3529.298,9354.114,8983.153,230.05402,220.06288,509.55466,3.7935433,151.57819,138.91344,95.49945,621.01575,637.89716,3393.7883,12416.160100000001
Bosnia and Herzegovina,BIH,2019.0,10642.689,3306.3545,1698.0233,1303.3147,742.18463,2.7141874,1309.5702,62.34934,4.3144746,165.37944,810.2835,221.55643,8700.167,9090.575,5845.1567,0.82436544,190.1854,132.27777,0.081096746,0.34917653,1.4186847,0.12295877,722.21014,5.403452,5101.888,9607.247500000001
Botswana,BWA,2019.0,2509.7598,164.59695,317.87076,1031.4658,421.0639,398.00305,427.14706,744.07196,488.62753,5580.148,199.391,221.63885,1588.254,2206.4885,2137.033,255.32738,230.15881,60.14901,4.8452024,58.4908,63.010983,9.667211,171.18034,392.08224,559.24615,3174.3772
Brazil,BRA,2019.0,239415.88,30814.293,33250.266,77476.96,11488.245,4309.493,27787.932,21522.588,11621.214,22823.012,815.9325,17701.225,170119.67,174198.5,177939.7,2449.5024,6892.1865,12135.154,32.96938,381.59317,1144.93,325.0436,45559.004,6100.7036,99375.26,118505.74
Brunei,BRN,2019.0,311.48776,70.474495,63.07654,15.240567,47.8979,0.56684697,34.23701,18.241066,2.3543148,22.790932,4.43858,26.288567,267.00256,416.98285,187.28613,0.12462143,15.419006,11.264054,0.0008468092,0.29808772,0.39836156,0.3578051,34.718636,1.7054584,149.2968,79.39919569999999
Bulgaria,BGR,2019.0,47208.656,14932.888,7342.732,8139.472,3361.327,8.817263,3023.452,139.11958,40.434265,534.3406,2268.539,563.4654,20638.621,21530.006,22741.703,0.7893395,629.7183,292.32275,0.0840114,4.671358,9.039159,1.0573788,2440.5632,21.767422,19141.188,21896.7434
Burkina Faso,BFA,2019.0,13233.175,1291.4204,1868.6836,6894.87,2223.2983,12947.795,1660.0774,18757.502,23661.498,3651.8406,97.90956,1487.401,2990.1125,8600.35,5797.578,9803.027,158.39847,705.68866,642.37537,3641.3076,2637.5107,490.5904,330.78632,10209.265,2051.342,55403.557499999995
Burundi,BDI,2019.0,6782.4214,1101.5343,955.3078,5400.494,317.22366,8096.55,377.7665,7263.241,7650.1646,2378.8984,470.8161,796.77625,2778.5208,3680.7344,1813.135,6020.408,80.719185,265.28632,227.72276,1451.4963,507.94348,243.16466,100.0619,4567.083,1512.1873,21993.9075
Cambodia,KHM,2019.0,14626.542,3785.376,1318.7175,9654.513,2835.533,1332.9834,3374.3804,4367.778,2544.801,1706.1719,165.67142,2078.6343,16458.541,14154.655,5254.565,792.7023,907.6893,960.6845,14.867568,378.5131,249.61946,80.61596,681.4365,1263.7325,5567.633,35155.1893
Cameroon,CMR,2019.0,18647.902,1655.4991,1989.1705,8420.189,1202.9934,15129.73,1361.8105,13537.167,15074.111,22838.922,33.676495,995.4289,5413.977,11637.599,13529.426,10531.251,392.9391,842.9935,655.4844,2729.947,2970.5461,579.35767,933.9133,9324.866,2285.1416,44750.615000000005
Canada,CAN,2019.0,41799.09,4295.6597,9227.689,13621.683,3645.4792,59.289555,3242.5308,720.1968,315.89294,1021.48096,296.02548,2251.0886,49645.523,30727.455,29814.205,70.4108,5062.2847,3966.5063,0.028303893,0.8629358,5.6560426,2.5579817,5729.6904,117.45141,22409.355,8154.295081
